lower_bound,upper_bound,tax_amount
0,4999,0
5000,9999,0
10000,14999,0
15000,19999,0
20000,24999,0
25000,29999,0
30000,34999,0
35000,39999,0
40000,44999,0
45000,49999,0
50000,54999,3650
55000,59999,4400
60000,64999,5150
65000,69999,5900
70000,74999,6650
75000,79999,7400
80000,84999,8150
85000,89999,8900
90000,94999,9650
95000,99999,10400
100000,104999,11150
105000,109999,11900
110000,114999,12650
115000,119999,13400
120000,124999,14150
125000,129999,14900
130000,134999,15650
135000,139999,16400
140000,144999,17150
145000,149999,17900
150000,154999,19000
155000,159999,20100
160000,164999,21200
165000,169999,22300
170000,174999,23400
175000,179999,24500
180000,184999,25600
185000,189999,26700
190000,194999,27800
195000,199999,28900
200000,204999,30000
205000,209999,31100
210000,214999,32200
215000,219999,33300
220000,224999,34400
225000,229999,35500
230000,234999,36600
235000,239999,37700
240000,244999,38800
245000,249999,39900
250000,254999,41000
255000,259999,42100
260000,264999,43200
265000,269999,44300
270000,274999,45400
275000,279999,46500
280000,284999,47600
285000,289999,48700
290000,294999,49800
295000,299999,50900
300000,304999,52150
305000,309999,53400
310000,314999,54650
315000,319999,55900
320000,324999,57150
325000,329999,58400
330000,334999,59650
335000,339999,60900
340000,344999,62150
345000,349999,63400
350000,354999,64650
355000,359999,65900
360000,364999,67150
365000,369999,68400
370000,374999,69650
375000,379999,70900
380000,384999,72150
385000,389999,73400
390000,394999,74650
395000,399999,75900
400000,404999,77150
405000,409999,78400
410000,414999,79650
415000,419999,80900
420000,424999,82150
425000,429999,83400
430000,434999,84650
435000,439999,85900
440000,444999,87150
445000,449999,88400
450000,454999,89650
455000,459999,90900
460000,464999,92150
465000,469999,93400
470000,474999,94650
475000,479999,95900
480000,484999,97150
485000,489999,98400
490000,494999,99650
495000,499999,100900
500000,504999,102150
505000,509999,103400
510000,514999,104650
515000,519999,105900
520000,524999,107150
525000,529999,108400
530000,534999,109650
535000,539999,110900
540000,544999,112150
545000,549999,113400
550000,554999,114650
555000,559999,115900
560000,564999,117150
565000,569999,118400
570000,574999,119650
575000,579999,120900
580000,584999,122150
585000,589999,123400
590000,594999,124650
595000,599999,125900
600000,604999,127400
605000,609999,128900
610000,614999,130400
615000,619999,131900
620000,624999,133400
625000,629999,134900
630000,634999,136400
635000,639999,137900
640000,644999,139400
645000,649999,140900
650000,654999,142400
655000,659999,143900
660000,664999,145400
665000,669999,146900
670000,674999,148400
675000,679999,149900
680000,684999,151400
685000,689999,152900
690000,694999,154400
695000,699999,155900
700000,704999,157400
705000,709999,158900
710000,714999,160400
715000,719999,161900
720000,724999,163400
725000,729999,164900
730000,734999,166400
735000,739999,167900
740000,744999,169400
745000,749999,170900
750000,754999,172400
755000,759999,173900
760000,764999,175400
765000,769999,176900
770000,774999,178400
775000,779999,179900
780000,784999,181400
785000,789999,182900
790000,794999,184400
795000,799999,185900
800000,804999,187400
805000,809999,188900
810000,814999,190400
815000,819999,191900
820000,824999,193400
825000,829999,194900
830000,834999,196400
835000,839999,197900
840000,844999,199400
845000,849999,200900
850000,854999,202400
855000,859999,203900
860000,864999,205400
865000,869999,206900
870000,874999,208400
875000,879999,209900
880000,884999,211400
885000,889999,212900
890000,894999,214400
895000,899999,215900
900000,904999,217400
905000,909999,218900
910000,914999,220400
915000,919999,221900
920000,924999,223400
925000,929999,224900
930000,934999,226400
935000,939999,227900
940000,944999,229400
945000,949999,230900
950000,954999,232400
955000,959999,233900
960000,964999,235400
965000,969999,236900
970000,974999,238400
975000,979999,239900
980000,984999,241400
985000,989999,242900
990000,994999,244400
995000,999999,245900
1000000,1004999,247650
1005000,1009999,249400
1010000,1014999,251150
1015000,1019999,252900
1020000,1024999,254650
1025000,1029999,256400
1030000,1034999,258150
1035000,1039999,259900
1040000,1044999,261650
1045000,1049999,263400
1050000,1054999,265150
1055000,1059999,266900
1060000,1064999,268650
1065000,1069999,270400
1070000,1074999,272150
1075000,1079999,273900
1080000,1084999,275650
1085000,1089999,277400
1090000,1094999,279150
1095000,1099999,280900
1100000,1104999,282650
1105000,1109999,284400
1110000,1114999,286150
1115000,1119999,287900
1120000,1124999,289650
1125000,1129999,291400
1130000,1134999,293150
1135000,1139999,294900
1140000,1144999,296650
1145000,1149999,298400
1150000,1154999,300150
1155000,1159999,301900
1160000,1164999,303650
1165000,1169999,305400
1170000,1174999,307150
1175000,1179999,308900
1180000,1184999,310650
1185000,1189999,312400
1190000,1194999,314150
1195000,1199999,315900
1200000,1204999,317650
1205000,1209999,319400
1210000,1214999,321150
1215000,1219999,322900
1220000,1224999,324650
1225000,1229999,326400
1230000,1234999,328150
1235000,1239999,329900
1240000,1244999,331650
1245000,1249999,333400
1250000,1254999,335150
1255000,1259999,336900
1260000,1264999,338650
1265000,1269999,340400
1270000,1274999,342150
1275000,1279999,343900
1280000,1284999,345650
1285000,1289999,347400
1290000,1294999,349150
1295000,1299999,350900
1300000,1304999,352650
1305000,1309999,354400
1310000,1314999,356150
1315000,1319999,357900
1320000,1324999,359650
1325000,1329999,361400
1330000,1334999,363150
1335000,1339999,364900
1340000,1344999,366650
1345000,1349999,368400
1350000,1354999,370150
1355000,1359999,371900
1360000,1364999,373650
1365000,1369999,375400
1370000,1374999,377150
1375000,1379999,378900
1380000,1384999,380650
1385000,1389999,382400
1390000,1394999,384150
1395000,1399999,385900
1400000,1404999,387650
1405000,1409999,389400
1410000,1414999,391150
1415000,1419999,392900
1420000,1424999,394650
1425000,1429999,396400
1430000,1434999,398150
1435000,1439999,399900
1440000,1444999,401650
1445000,1449999,403400
1450000,1454999,405150
1455000,1459999,406900
1460000,1464999,408650
1465000,1469999,410400
1470000,1474999,412150
1475000,1479999,413900
1480000,1484999,415650
1485000,1489999,417400
1490000,1494999,419150
1495000,1499999,420900
1500000,1504999,422650
1505000,1509999,424400
1510000,1514999,426150
1515000,1519999,427900
1520000,1524999,429650
1525000,1529999,431400
1530000,1534999,433150
1535000,1539999,434900
1540000,1544999,436650
1545000,1549999,438400
1550000,1554999,440150
1555000,1559999,441900
1560000,1564999,443650
1565000,1569999,445400
1570000,1574999,447150
1575000,1579999,448900
1580000,1584999,450650
1585000,1589999,452400
1590000,1594999,454150
1595000,1599999,455900
1600000,1604999,457650
1605000,1609999,459400
1610000,1614999,461150
1615000,1619999,462900
1620000,1624999,464650
1625000,1629999,466400
1630000,1634999,468150
1635000,1639999,469900
1640000,1644999,471650
1645000,1649999,473400
1650000,1654999,475150
1655000,1659999,476900
1660000,1664999,478650
1665000,1669999,480400
1670000,1674999,482150
1675000,1679999,483900
1680000,1684999,485650
1685000,1689999,487400
1690000,1694999,489150
1695000,1699999,490900
1700000,1704999,492650
1705000,1709999,494400
1710000,1714999,496150
1715000,1719999,497900
1720000,1724999,499650
1725000,1729999,501400
1730000,1734999,503150
1735000,1739999,504900
1740000,1744999,506650
1745000,1749999,508400
1750000,1754999,510150
1755000,1759999,511900
1760000,1764999,513650
1765000,1769999,515400
1770000,1774999,517150
1775000,1779999,518900
1780000,1784999,520650
1785000,1789999,522400
1790000,1794999,524150
1795000,1799999,525900
1800000,1804999,527650
1805000,1809999,529400
1810000,1814999,531150
1815000,1819999,532900
1820000,1824999,534650
1825000,1829999,536400
1830000,1834999,538150
1835000,1839999,539900
1840000,1844999,541650
1845000,1849999,543400
1850000,1854999,545150
1855000,1859999,546900
1860000,1864999,548650
1865000,1869999,550400
1870000,1874999,552150
1875000,1879999,553900
1880000,1884999,555650
1885000,1889999,557400
1890000,1894999,559150
1895000,1899999,560900
1900000,1904999,562650
1905000,1909999,564400
1910000,1914999,566150
1915000,1919999,567900
1920000,1924999,569650
1925000,1929999,571400
1930000,1934999,573150
1935000,1939999,574900
1940000,1944999,576650
1945000,1949999,578400
1950000,1954999,580150
1955000,1959999,581900
1960000,1964999,583650
1965000,1969999,585400
1970000,1974999,587150
1975000,1979999,588900
1980000,1984999,590650
1985000,1989999,592400
1990000,1994999,594150
1995000,1999999,596400
2000000,2004999,598650
2005000,2009999,600900
2010000,2014999,603150
2015000,2019999,605400
2020000,2024999,607650
2025000,2029999,609900
2030000,2034999,612150
2035000,2039999,614400
2040000,2044999,616650
2045000,2049999,618900
2050000,2054999,621150
2055000,2059999,623400
2060000,2064999,625650
2065000,2069999,627900
2070000,2074999,630150
2075000,2079999,632400
2080000,2084999,634650
2085000,2089999,636900
2090000,2094999,639150
2095000,2099999,641400
2100000,2104999,643650
2105000,2109999,645900
2110000,2114999,648150
2115000,2119999,650400
2120000,2124999,652650
2125000,2129999,654900
2130000,2134999,657150
2135000,2139999,659400
2140000,2144999,661650
2145000,2149999,663900
2150000,2154999,666150
2155000,2159999,668400
2160000,2164999,670650
2165000,2169999,672900
2170000,2174999,675150
2175000,2179999,677400
2180000,2184999,679650
2185000,2189999,681900
2190000,2194999,684150
2195000,2199999,686400
2200000,2204999,688650
2205000,2209999,690900
2210000,2214999,693150
2215000,2219999,695400
2220000,2224999,697650
2225000,2229999,699900
2230000,2234999,702150
2235000,2239999,704400
2240000,2244999,706650
2245000,2249999,708900
2250000,2254999,711150
2255000,2259999,713400
2260000,2264999,715650
2265000,2269999,717900
2270000,2274999,720150
2275000,2279999,722400
2280000,2284999,724650
2285000,2289999,726900
2290000,2294999,729150
2295000,2299999,731400
2300000,2304999,733650
2305000,2309999,735900
2310000,2314999,738150
2315000,2319999,740400
2320000,2324999,742650
2325000,2329999,744900
2330000,2334999,747150
2335000,2339999,749400
2340000,2344999,751650
2345000,2349999,753900
2350000,2354999,756150
2355000,2359999,758400
2360000,2364999,760650
2365000,2369999,762900
2370000,2374999,765150
2375000,2379999,767400
2380000,2384999,769650
2385000,2389999,771900
2390000,2394999,774150
2395000,2399999,776400
2400000,2404999,778650
2405000,2409999,780900
2410000,2414999,783150
2415000,2419999,785400
2420000,2424999,787650
2425000,2429999,789900
2430000,2434999,792150
2435000,2439999,794400
2440000,2444999,796650
2445000,2449999,798900
2450000,2454999,801150
2455000,2459999,803400
2460000,2464999,805650
2465000,2469999,807900
2470000,2474999,810150
2475000,2479999,812400
2480000,2484999,814650
2485000,2489999,816900
2490000,2494999,819150
2495000,2499999,821400
2500000,2504999,823650
2505000,2509999,825900
2510000,2514999,828150
